Algorithm,n,p,ii,Iopt,Iopt.approx,obj,obj.approx
RAND,30,4,1,0.267567016,0.196581569,0.782265615,0.510580912
MB_SDP,30,4,2,0.146359612,0.14599616,0.385325453,0.384914234
EXACT,30,4,2,0.170055621,0.162384933,0.48675062,0.45825053
LB_APPROX,30,4,2,0.149260291,0.148435648,0.402309701,0.399469354
CE,30,4,2,0.140900056,0.140898848,0.376857599,0.376853778
IP,30,4,2,0.140695173,0.14069483,0.376582822,0.376580789
RAND,30,4,2,0.15673903,0.153491477,0.385812474,0.38434833
MB_SDP,30,4,3,0.216068922,0.214718101,0.793632794,0.789537541
EXACT,30,4,3,0.237574126,0.226983412,0.788289075,0.782775834
LB_APPROX,30,4,3,0.214382143,0.21294077,0.825328201,0.815140956
CE,30,4,3,0.202030766,0.202025649,0.743746225,0.743745157
IP,30,4,3,0.201686688,0.201686346,0.74383794,0.743837061
RAND,30,4,3,0.241627655,0.230190311,0.888102739,0.851468451
MB_SDP,30,4,4,0.17997624,0.178691643,0.537187128,0.530221425
EXACT,30,4,4,0.209500638,0.197450169,0.638795843,0.591182977
LB_APPROX,30,4,4,0.198561821,0.188615233,0.592440558,0.556197527
CE,30,4,4,0.166919353,0.166918409,0.479537455,0.479531257
IP,30,4,4,0.166709271,0.166709198,0.477974347,0.477974303
RAND,30,4,4,0.21721094,0.19726826,0.632080381,0.547362999
MB_SDP,30,4,5,0.147173841,0.146947518,0.403323185,0.402383187
EXACT,30,4,5,0.151860486,0.150940517,0.422382575,0.418294476
LB_APPROX,30,4,5,0.153520808,0.152037106,0.418460868,0.413877529
CE,30,4,5,0.142916918,0.142913727,0.387096193,0.387091261
IP,30,4,5,0.142676059,0.142675732,0.386927453,0.386926339
RAND,30,4,5,0.184493595,0.171690995,0.561652871,0.501337909
MB_SDP,30,5,1,0.207309401,0.201171446,0.577539158,0.550508124
EXACT,30,5,1,0.196471656,0.192225424,0.494003619,0.492789988
LB_APPROX,30,5,1,0.186097343,0.185557023,0.511774857,0.509591119
CE,30,5,1,0.180223768,0.180187216,0.483025914,0.483010677
IP,30,5,1,0.179886292,0.179868751,0.483669131,0.483650358
RAND,30,5,1,0.304389246,0.236287599,1.021064909,0.692415297
MB_SDP,30,5,2,0.211982411,0.210421409,0.611295643,0.60508343
EXACT,30,5,2,0.216218698,0.212176476,0.612228313,0.601877928
LB_APPROX,30,5,2,0.224763364,0.217158396,0.730108991,0.681095079
CE,30,5,2,0.199101413,0.199065003,0.565272648,0.565205003
IP,30,5,2,0.198541939,0.198515031,0.562263,0.562245229
RAND,30,5,2,0.354562278,0.251924996,1.416741144,0.818059083
MB_SDP,30,5,3,0.289728518,0.258029364,0.865461051,0.737520302
EXACT,30,5,3,0.245323493,0.239874701,0.785799888,0.756320807
LB_APPROX,30,5,3,0.2252649,0.224910434,0.687443166,0.685150063
CE,30,5,3,0.220667747,0.220639628,0.65636979,0.656324825
IP,30,5,3,0.220120941,0.220101388,0.654699537,0.654679993
RAND,30,5,3,0.356291546,0.271883614,1.270637144,0.729965474
MB_SDP,30,5,4,0.202778273,0.201526329,0.522618169,0.517295317
EXACT,30,5,4,0.271171536,0.227765277,0.841750123,0.578700505
LB_APPROX,30,5,4,0.199818802,0.198795872,0.509748288,0.506315899
CE,30,5,4,0.190423872,0.190398535,0.477682132,0.477650348
IP,30,5,4,0.189942722,0.189928338,0.475938362,0.475929373
RAND,30,5,4,0.534505614,0.259464974,2.421701487,0.791721659
MB_SDP,30,5,5,0.275483958,0.270342546,1.079580807,1.064773537
EXACT,30,5,5,0.31566481,0.286840942,1.109464294,1.089877648
LB_APPROX,30,5,5,0.282881941,0.27577873,1.204306244,1.159193219
CE,30,5,5,0.249708824,0.24967744,1.004212391,1.004141067
IP,30,5,5,0.249210801,0.249193204,1.002795122,1.002765038
RAND,30,5,5,0.354910132,0.310253904,1.364080621,1.262679994
MB_SDP,40,3,1,0.093428076,0.093381598,0.31038855,0.310240488
EXACT,40,3,1,0.09721718,0.096725888,0.314340556,0.313825529
LB_APPROX,40,3,1,0.095538986,0.095333514,0.315300801,0.314786545
CE,40,3,1,0.092172431,0.092172423,0.306361207,0.306361178
IP,40,3,1,0.092150058,0.092150058,0.306282819,0.306282819
RAND,40,3,1,0.100255449,0.099390997,0.340910338,0.337267639
MB_SDP,40,3,2,0.089109703,0.086531299,0.242737639,0.233701095
EXACT,40,3,2,0.07840869,0.078294686,0.211800454,0.211539047
LB_APPROX,40,3,2,0.077240616,0.07720441,0.20879024,0.208739804
CE,40,3,2,0.075843391,0.075843387,0.205650845,0.205650824
IP,40,3,2,0.075832503,0.075832503,0.205597826,0.205597826
RAND,40,3,2,0.078021885,0.077941273,0.210088524,0.209926335
MB_SDP,40,3,3,0.102841285,0.100818975,0.275751931,0.269702461
EXACT,40,3,3,0.09275117,0.092736936,0.249771254,0.249732538
LB_APPROX,40,3,3,0.09236553,0.092360541,0.248821439,0.248803573
CE,40,3,3,0.091803758,0.091803745,0.246916655,0.24691661
IP,40,3,3,0.091774639,0.091774639,0.246821483,0.246821483
RAND,40,3,3,0.093418739,0.093380977,0.251896331,0.251769604
MB_SDP,40,3,4,0.090219639,0.090184748,0.279712607,0.279558583
EXACT,40,3,4,0.094713466,0.093832439,0.291926711,0.28922562
LB_APPROX,40,3,4,0.090325504,0.090275431,0.278636133,0.278474502
CE,40,3,4,0.088632495,0.08863249,0.273489299,0.27348928
IP,40,3,4,0.08861497,0.08861497,0.273425248,0.273425248
RAND,40,3,4,0.096587151,0.095406793,0.32398648,0.315993227
MB_SDP,40,3,5,0.082282617,0.082259422,0.235226157,0.235087299
EXACT,40,3,5,0.084090603,0.08390647,0.236775687,0.236460791
LB_APPROX,40,3,5,0.08488284,0.084668945,0.24277904,0.242044324
CE,40,3,5,0.081204215,0.081204209,0.229609907,0.229609886
IP,40,3,5,0.081189253,0.081189253,0.229550019,0.229550018
RAND,40,3,5,0.113695624,0.102444001,0.357212884,0.30962055
MB_SDP,40,4,1,0.112675293,0.112542869,0.262889622,0.262818026
EXACT,40,4,1,0.117071781,0.116468676,0.264484058,0.264224525
LB_APPROX,40,4,1,0.111773498,0.111719128,0.267967574,0.267693866
CE,40,4,1,0.110311321,0.110310731,0.260992104,0.260991856
IP,40,4,1,0.110237311,0.110236957,0.260956084,0.260955539
RAND,40,4,1,0.113571825,0.113365317,0.271340375,0.270633052
MB_SDP,40,4,2,0.122752886,0.122230269,0.302464915,0.300213829
EXACT,40,4,2,0.121959718,0.121689226,0.309344519,0.308347022
LB_APPROX,40,4,2,0.125550175,0.124174807,0.328121862,0.319765138
CE,40,4,2,0.117814205,0.117813455,0.294570689,0.29457034
IP,40,4,2,0.117722574,0.117722204,0.294563483,0.294563111
RAND,40,4,2,0.128301876,0.126670287,0.324422147,0.317204307
MB_SDP,40,4,3,0.13744399,0.134328168,0.409404651,0.389283709
EXACT,40,4,3,0.132659901,0.131649608,0.358975343,0.354980504
LB_APPROX,40,4,3,0.124299384,0.124249623,0.332201774,0.331889078
CE,40,4,3,0.122675434,0.122674804,0.323479817,0.323478636
IP,40,4,3,0.122628212,0.1226277,0.32309166,0.323091482
RAND,40,4,3,0.133604113,0.131937167,0.391228784,0.379176592
MB_SDP,40,4,4,0.122963149,0.122707991,0.437300126,0.436349805
EXACT,40,4,4,0.134037738,0.131107778,0.463440939,0.455618778
LB_APPROX,40,4,4,0.125796838,0.125143776,0.453217771,0.450412822
CE,40,4,4,0.118723768,0.118723504,0.420262156,0.420261584
IP,40,4,4,0.118592822,0.11859282,0.419892423,0.419892414
RAND,40,4,4,0.150836077,0.140391624,0.546977118,0.505678567
