"Algorithm","n","p","ii","Iopt","Iopt.approx","obj","obj.approx"
"MB_SDP",120,4,1,0.0340827963003959,0.0340819783362108,0.038585598798492,0.0385849592891844
"EXACT",120,4,1,0.0343438560330046,0.0343355909799278,0.0384775003926864,0.0384773681979616
"LB_APPROX",120,4,1,0.0339699221009979,0.0339699069022194,0.0384842372286464,0.0384842185763127
"CE",120,4,1,0.0339699221009979,0.0339699069022194,0.0384842372286464,0.0384842185763127
"IP",120,4,1,0.0339699221009979,0.0339699069022194,0.0384842372286464,0.0384842185763127
"RAND",120,4,1,0.0349441429170893,0.0349029828326005,0.0398591891818833,0.0398098502422142
"MB_SDP",120,4,2,0.0336975092443288,0.0336956111011897,0.0366092218967295,0.0366071018295624
"EXACT",120,4,2,0.0355717030971615,0.0353394390439589,0.0371925734768529,0.0364233014066463
"LB_APPROX",120,4,2,0.0335390850188766,0.0335390609330028,0.0364431730567681,0.0364431091496531
"CE",120,4,2,0.0335390850188766,0.0335390609330028,0.0364431730567681,0.0364431091496531
"IP",120,4,2,0.0335390850188766,0.0335390609330028,0.0364431730567681,0.0364431091496531
"RAND",120,4,2,0.0337838473523346,0.0337798097612572,0.036723932449227,0.0367182618632279
"MB_SDP",120,4,3,0.0341449363280664,0.0341444142451977,0.0417753297472115,0.0417747578756918
"EXACT",120,4,3,0.0341694699134715,0.0341683968669933,0.0416666666666667,0.0416666666666667
"LB_APPROX",120,4,3,0.0340649801587302,0.0340649592142725,0.0416666666666667,0.0416666666666667
"CE",120,4,3,0.0340649801587302,0.0340649592142725,0.0416666666666667,0.0416666666666667
"IP",120,4,3,0.0340649801587302,0.0340649592142725,0.0416666666666667,0.0416666666666667
"RAND",120,4,3,0.0349879222944238,0.034938837459768,0.0444444444444444,0.0442708333333333
"MB_SDP",120,4,4,0.0341339635267877,0.0341299408058846,0.0402202058550307,0.0402134527246277
"EXACT",120,4,4,0.0369034559080126,0.0364499686173948,0.0398006748133949,0.0398001453382388
"LB_APPROX",120,4,4,0.0338999279372313,0.0338998861687448,0.0398072949624459,0.0398072756989083
"CE",120,4,4,0.0338922381262356,0.0338922204398343,0.0398075370552106,0.039807531586628
"IP",120,4,4,0.0338999279372313,0.0338998861687448,0.0398072949624459,0.0398072756989083
"RAND",120,4,4,0.0359285546732473,0.0357199536309694,0.0418725106021016,0.0417427886356499
"MB_SDP",120,4,5,0.0340909151202294,0.0340904328962955,0.0386095994204327,0.0386093163202027
"EXACT",120,4,5,0.0340155035682963,0.0340154875946601,0.0385548074070795,0.0385548073852986
"LB_APPROX",120,4,5,0.0340155035682963,0.0340154875946601,0.0385548074070795,0.0385548073852986
"CE",120,4,5,0.0340155035682963,0.0340154875946601,0.0385548074070795,0.0385548073852986
"IP",120,4,5,0.0340155035682963,0.0340154875946601,0.0385548074070795,0.0385548073852986
"RAND",120,4,5,0.0345211546359987,0.0345072831439923,0.0398274502571982,0.0397848747946242
"MB_SDP",120,10,1,0.0999316886907306,0.0992761434134544,0.159593408286399,0.158814295238363
"EXACT",120,10,1,0.0999844813464428,0.099242417173423,0.151893780323011,0.151685236842107
"LB_APPROX",120,10,1,0.096060838917803,0.0959723524476408,0.156132512593814,0.155959333921644
"CE",120,10,1,0.0943919120255884,0.0943888777366686,0.151863192750198,0.151862086713831
"IP",120,10,1,0.0945295003920172,0.0945240237972362,0.152338420007745,0.152333530289311
"RAND",120,10,1,0.102474681707789,0.101254316700272,0.162343416384501,0.161356529559737
"MB_SDP",120,10,2,0.0949030590288733,0.0941604413375113,0.133194537500397,0.131646355355787
"EXACT",120,10,2,0.0928590985319612,0.0925168785363309,0.121941137693271,0.121932600084259
"LB_APPROX",120,10,2,0.0894431757716938,0.0894378381565746,0.122474864804185,0.12246892763771
"CE",120,10,2,0.0892454670445662,0.0892437822817507,0.122022306665478,0.122021849260142
"IP",120,10,2,0.0893549088534878,0.0893511501391321,0.122461155290528,0.122457065905443
"RAND",120,10,2,0.0971611473634632,0.095757291040202,0.137441905347698,0.135042324210456
"MB_SDP",120,10,3,0.0930538696475661,0.0925152543046445,0.121924977436277,0.121502183293474
"EXACT",120,10,3,0.0918707034450544,0.0915342148443076,0.117518918240249,0.117517011238817
"LB_APPROX",120,10,3,0.0893565212896879,0.0893346884085217,0.118632625701275,0.118618398866242
"CE",120,10,3,0.0886825032249576,0.0886798741828812,0.117830799720396,0.117827821462959
"IP",120,10,3,0.08875517718898,0.0887511514667331,0.118259445022079,0.11825154107862
"RAND",120,10,3,0.0985758959213118,0.0964233672014819,0.137082379879717,0.130269923757647
"MB_SDP",120,10,4,0.0956122011222338,0.0948735664316052,0.13512012708444,0.135064860481455
"EXACT",120,10,4,0.0943211050440245,0.0937274348094537,0.134416760759335,0.134416081720831
"LB_APPROX",120,10,4,0.0915415860484673,0.0914973897714495,0.136937611609703,0.136855268076227
"CE",120,10,4,0.090428344331676,0.0904257235931232,0.135255019885463,0.13524664770959
"IP",120,10,4,0.0905215662761926,0.0905168992762069,0.134658110028197,0.134656494797208
"RAND",120,10,4,0.0966864897339844,0.0957484348759929,0.14428838525593,0.142636850118703
"MB_SDP",120,10,5,0.0943664418523605,0.0938296791320209,0.133991655748002,0.132153435604362
"EXACT",120,10,5,0.0944057212365554,0.0936663652219231,0.119425447038827,0.119425090139077
"LB_APPROX",120,10,5,0.09081640228127,0.0907629832750468,0.120614352724124,0.120571357097407
"CE",120,10,5,0.0896584817734069,0.0896554803850888,0.120223191777506,0.120213489583886
"IP",120,10,5,0.0897217857522785,0.0897176783354559,0.119725157152344,0.119721681841354
"RAND",120,10,5,0.102223673263252,0.0991165632829217,0.158673924147303,0.140840446459199
"MB_SDP",120,15,1,0.161569891865183,0.155963124078042,0.293837290902957,0.268927085010782
"EXACT",120,15,1,0.153920862125663,0.150746779335501,0.217695827863271,0.216362388933735
"LB_APPROX",120,15,1,0.142212918152239,0.142100727333129,0.21881453423781,0.218708700626235
"CE",120,15,1,0.142298859188832,0.142186812959586,0.221439901921122,0.221267244707748
"IP",120,15,1,0.142904823636719,0.142757167846529,0.218947321674921,0.218868141340595
"RAND",120,15,1,0.169207868872881,0.160682020982639,0.286076956724477,0.260514912033363
"MB_SDP",120,15,2,0.162113332029573,0.158631919451007,0.279792239000301,0.273803666392546
"EXACT",120,15,2,0.155757561086669,0.153729834090206,0.245092787189114,0.244215444472051
"LB_APPROX",120,15,2,0.146271915666989,0.146186717806913,0.247545135617163,0.247447669922117
"CE",120,15,2,0.146224594554328,0.146132908244031,0.245979039382463,0.245923035540489
"IP",120,15,2,0.146803060141847,0.146660479161303,0.247262343745265,0.247135449698292
"RAND",120,15,2,0.164220762279495,0.15967413658172,0.271635011467459,0.265746918137322
"MB_SDP",120,15,3,0.157658470628553,0.153612907627247,0.258202141986656,0.243049541547431
"EXACT",120,15,3,0.150396340369811,0.147920401850631,0.217155690292751,0.216025882200714
"LB_APPROX",120,15,3,0.140939589354203,0.14085377214161,0.218180868476412,0.218051434337587
"CE",120,15,3,0.140973292070761,0.14086765548366,0.217256210450465,0.217064382030012
"IP",120,15,3,0.141096990693477,0.140991945280168,0.216821143214718,0.216733757307506
"RAND",120,15,3,0.16364998707553,0.157044874554809,0.26856539160788,0.250305415343514
"MB_SDP",120,15,4,0.159559822360052,0.156733352863991,0.279789494795091,0.274113590721728
"EXACT",120,15,4,0.155352329643811,0.153363457084665,0.251767887770635,0.251705034399932
"LB_APPROX",120,15,4,0.145616482336826,0.145538581350033,0.254632610417641,0.254537172234267
"CE",120,15,4,0.145883734547551,0.145787580527297,0.254495047171853,0.254406728284442
"IP",120,15,4,0.146394772054714,0.146245971877093,0.257141004554235,0.256749063731008
"RAND",120,15,4,0.172700271752359,0.163450703726417,0.331636130305517,0.293743655511914
"MB_SDP",120,15,5,0.16238462680125,0.156416740344892,0.266958471717526,0.259187240448094
"EXACT",120,15,5,0.156703580896621,0.153108826836764,0.238302270853901,0.230345317474879
"LB_APPROX",120,15,5,0.1416852520905,0.141588914197839,0.234403223782781,0.234232710460119
"CE",120,15,5,0.14172253378465,0.141608358170849,0.235619037889298,0.235438538806262
"IP",120,15,5,0.142085032176591,0.141948598851064,0.23715776286224,0.236826641546521
"RAND",120,15,5,0.159752574771144,0.154895247862126,0.290484992723871,0.271282299873622
"MB_SDP",120,20,1,0.231806837616642,0.221214619240432,0.392512375731193,0.36834698391924
"EXACT",120,20,1,0.217855453837939,0.212060116354291,0.324496374536624,0.320437135880778
"LB_APPROX",120,20,1,0.201858131727842,0.201191488504003,0.330321752612207,0.329235742296201
"CE",120,20,1,0.201921880251496,0.201151242007608,0.329912599499513,0.327636200116984
"IP",120,20,1,0.203061367339308,0.202114244533379,0.32831773238737,0.327605073003623
"RAND",120,20,1,0.243503779981209,0.226576085228842,0.419718089461941,0.375889785726137
"MB_SDP",120,20,2,0.231873226406546,0.221382923272549,0.41063332123572,0.369129902793466
"EXACT",120,20,2,0.222361016173067,0.214578226749337,0.324872294425129,0.307434428229935
"LB_APPROX",120,20,2,0.202186261926504,0.20161626897644,0.31597161215634,0.31469771713273
"CE",120,20,2,0.204236615681554,0.203284239529927,0.324081486570448,0.321314324346139
"IP",120,20,2,0.205852253732146,0.204537529810135,0.320089148560212,0.317864069249439
"RAND",120,20,2,0.263600975099103,0.234012272640209,0.499183598778789,0.399846796759994
"MB_SDP",120,20,3,0.240769267567939,0.231208636167018,0.472742767284466,0.455179665362759
"EXACT",120,20,3,0.243373012513006,0.229662085643045,0.469853416197918,0.402653180776658
"LB_APPROX",120,20,3,0.212163132158322,0.211564238800111,0.416611115985164,0.415517603871786
"CE",120,20,3,0.213589115786584,0.212741962372366,0.422536426169885,0.420286929681181
"IP",120,20,3,0.216125072784371,0.214662605129333,0.421958564950828,0.420113247428781
"RAND",120,20,3,0.248317059342308,0.234645446642328,0.513026804155348,0.478782708826506
"MB_SDP",120,20,4,0.233233582713633,0.223685462959163,0.407326829853648,0.388571906205672
"EXACT",120,20,4,0.230487569899344,0.22148979136433,0.362127898857224,0.349957370729187
"LB_APPROX",120,20,4,0.205950532808406,0.205261278660685,0.358988498301024,0.357836337327724
"CE",120,20,4,0.207693471046512,0.2067437964748,0.360152016846175,0.358867221477812
"IP",120,20,4,0.208360590006002,0.207144083776734,0.362056024678336,0.359874022927496
"RAND",120,20,4,0.258180525700513,0.233424610974758,0.54545686611044,0.429254851513778
"MB_SDP",120,20,5,0.253770985385962,0.23440634076237,0.595159797971235,0.523069215163042
"EXACT",120,20,5,0.235444514634609,0.224200362007057,0.427694455248736,0.420150368029118
"LB_APPROX",120,20,5,0.207819821860542,0.207099291923851,0.4457064038232,0.442915796420707
"CE",120,20,5,0.209116400478989,0.208289080008717,0.437526319771235,0.436462282241716
"IP",120,20,5,0.210586323947908,0.209462552127438,0.445898634745016,0.443289508069196
"RAND",120,20,5,0.246546304833319,0.23012366956564,0.587329374926132,0.50202319556529
"MB_SDP",150,4,1,0.0269089118879532,0.0269083008074867,0.0286906151170552,0.0286884007417487
"EXACT",150,4,1,0.0268566432567545,0.0268565643859871,0.0284901177853396,0.0284900948144986
"LB_APPROX",150,4,1,0.0268383493629344,0.0268383348450357,0.0284908741819758,0.0284908615906012
"CE",150,4,1,0.0268344661366372,0.0268344589938868,0.0284927295440013,0.0284927170465291
"IP",150,4,1,0.0268388910297974,0.0268388748455056,0.0284919804508747,0.0284919695824425
"RAND",150,4,1,0.0271565137941174,0.027148583133091,0.0287868531577206,0.0287804391733013
"MB_SDP",150,4,2,0.027342077099703,0.027341966627888,0.0331395026908925,0.0331394659944185
"EXACT",150,4,2,0.0281906434373098,0.0281293969692782,0.0331194847915619,0.0331191864459204
"LB_APPROX",150,4,2,0.027310801159634,0.0273107887848579,0.0331489463109692,0.0331489066327548
"CE",150,4,2,0.027310801159634,0.0273107887848579,0.0331489463109692,0.0331489066327548
"IP",150,4,2,0.027310801159634,0.0273107887848579,0.0331489463109692,0.0331489066327548
"RAND",150,4,2,0.0282636394495537,0.0282088697134466,0.0348752922128105,0.0347546532856416
"MB_SDP",150,4,3,0.0270593462332363,0.0270573627874444,0.0295192010366223,0.0295164768055615
"EXACT",150,4,3,0.027241677049186,0.027232964333839,0.0292919513341338,0.0292917955681925
"LB_APPROX",150,4,3,0.026901194007491,0.0269011890082964,0.0293012152242125,0.0293012043383807
"CE",150,4,3,0.026901194007491,0.0269011890082964,0.0293012152242125,0.0293012043383807
"IP",150,4,3,0.026901194007491,0.0269011890082964,0.0293012152242125,0.0293012043383807
"RAND",150,4,3,0.0276746084152061,0.0276361111061542,0.0304821072569787,0.0303566838196001
"MB_SDP",150,4,4,0.0270943912616757,0.0270942988255162,0.0314592498568999,0.031459172255519
"EXACT",150,4,4,0.0281841301871518,0.0280882866683442,0.0314752725472344,0.0314263608999309
"LB_APPROX",150,4,4,0.0270650340787016,0.0270650285935642,0.0314343977605018,0.0314343908352984
"CE",150,4,4,0.0270650340787016,0.0270650285935642,0.0314343977605018,0.0314343908352984
"IP",150,4,4,0.0270650340787016,0.0270650285935642,0.0314343977605018,0.0314343908352984
"RAND",150,4,4,0.0274395042175172,0.0274278662924355,0.0317808191854922,0.0317760021812358
"MB_SDP",150,4,5,0.0280360359414895,0.0280359579770812,0.0342253132667344,0.0342252275952634
"EXACT",150,4,5,0.0314142733752122,0.0306191884041756,0.034178343864648,0.0341780913339145
"LB_APPROX",150,4,5,0.0280143437887168,0.0280143374551687,0.0341984422964764,0.0341984287734982
"CE",150,4,5,0.0280143437887168,0.0280143374551687,0.0341984422964764,0.0341984287734982
"IP",150,4,5,0.0280143437887168,0.0280143374551687,0.0341984422964764,0.0341984287734982
"RAND",150,4,5,0.0286011864765863,0.0285815391545344,0.0346632875532404,0.0346499789161709
"MB_SDP",150,10,1,0.0777884193328973,0.0773088739680637,0.106831104391607,0.106113670132666
"EXACT",150,10,1,0.0751944002296969,0.07508208713501,0.100958574695565,0.100958337206849
"LB_APPROX",150,10,1,0.0740715154408511,0.0740543363816428,0.101551063965988,0.101530623575489
"CE",150,10,1,0.0734481733554771,0.073446950367524,0.101143765705067,0.101142943418353
"IP",150,10,1,0.0744429870418111,0.0744064903216404,0.101652554935056,0.101613698103069
"RAND",150,10,1,0.0788113788102099,0.0778109809298534,0.117275943687231,0.113048425755937
"MB_SDP",150,10,2,0.0739085622544456,0.0737684127741612,0.106231674154369,0.105986857583023
"EXACT",150,10,2,0.0762808596222658,0.0755851824152441,0.102590903466677,0.102497635559959
"LB_APPROX",150,10,2,0.0719215300908312,0.0719122654433615,0.104559501017227,0.104512366052836
"CE",150,10,2,0.0714877046095232,0.0714869428097054,0.102557121074184,0.102556877446041
"IP",150,10,2,0.0721855388935656,0.0721652825965672,0.103553866408399,0.103536258009132
"RAND",150,10,2,0.076562100146089,0.0758713313709369,0.114417085215869,0.112829791567318
"MB_SDP",150,10,3,0.073717040689277,0.0734469791060586,0.0991148541061391,0.0985335235445616
"EXACT",150,10,3,0.0735926505122726,0.0733307343259008,0.0931697844271417,0.0931691845691706
"LB_APPROX",150,10,3,0.0713647926040358,0.0713505803432185,0.0944142022512469,0.0943897647835034
"CE",150,10,3,0.0708034653013882,0.0708026491213944,0.0933005263344786,0.0933001366641941
"IP",150,10,3,0.0720536454206479,0.0719967322969464,0.0962600826362067,0.0960191098238823
"RAND",150,10,3,0.0757509501039465,0.0749607164521082,0.0992757303002726,0.0975069576918657
"MB_SDP",150,10,4,0.0729288620316578,0.0727905112894425,0.09268292531367,0.0924236559316785
"EXACT",150,10,4,0.0730543016037915,0.0728076496403045,0.0889547071074491,0.0888184577046317
"LB_APPROX",150,10,4,0.0710577616580227,0.0710490270861681,0.0896842066315888,0.089668433304017
"CE",150,10,4,0.0706539312934919,0.0706531809745004,0.0890690108552789,0.0890674749908277
"IP",150,10,4,0.071456146429553,0.0714323995635218,0.0899970488264061,0.0899778712341263
"RAND",150,10,4,0.0778752755810372,0.0763109468461029,0.101013812321911,0.0963503842394996
"MB_SDP",150,10,5,0.0730620627727535,0.0727850559284881,0.0956548583497423,0.0952347611969894
"EXACT",150,10,5,0.0728260817157965,0.0725941865978717,0.0911875168915108,0.0911873377162672
"LB_APPROX",150,10,5,0.0703791118789388,0.070372598047375,0.0917789089145068,0.0917712704065889
"CE",150,10,5,0.0700636702077012,0.0700626719580277,0.0913216385794228,0.0913210052511135
"IP",150,10,5,0.0708804260826393,0.0708540721537998,0.0932266529893485,0.0931585531458778
"RAND",150,10,5,0.0763549162303167,0.0754805119739056,0.101356487419926,0.0998379931971585
"MB_SDP",150,15,1,0.12923648537028,0.125611124248826,0.218327830809376,0.209263283124401
"EXACT",150,15,1,0.121600788673058,0.120258931564238,0.183532502183089,0.183515432801538
"LB_APPROX",150,15,1,0.114717887694053,0.114674387027005,0.186221820618496,0.186153488633698
"CE",150,15,1,0.11439033386545,0.114364406727814,0.185147520859738,0.185117447696612
